,Region,County,First Dose,Series Complete,Report as of
54,Southern Tier,Tompkins,0,0,12/14/2020
55,Mid-Hudson,Ulster,1,0,12/14/2020
56,Capital Region,Warren,0,0,12/14/2020
57,Capital Region,Washington,1,0,12/14/2020
58,Finger Lakes,Wayne,0,0,12/14/2020
59,Mid-Hudson,Westchester,8,0,12/14/2020
60,Finger Lakes,Wyoming,0,0,12/14/2020
61,Finger Lakes,Yates,0,0,12/14/2020
62,Capital Region,Albany,185,0,12/15/2020
63,Western New York,Allegany,0,0,12/15/2020
64,New York City,Bronx,50,0,12/15/2020
65,Southern Tier,Broome,1,0,12/15/2020
66,Western New York,Cattaraugus,0,0,12/15/2020
67,Central New York,Cayuga,0,0,12/15/2020
68,Western New York,Chautauqua,0,0,12/15/2020
69,Southern Tier,Chemung,1,0,12/15/2020
70,Southern Tier,Chenango,0,0,12/15/2020
71,North Country,Clinton,1,0,12/15/2020
72,Capital Region,Columbia,8,0,12/15/2020
73,Central New York,Cortland,0,0,12/15/2020
74,Southern Tier,Delaware,0,0,12/15/2020
75,Mid-Hudson,Dutchess,6,0,12/15/2020
76,Western New York,Erie,7,0,12/15/2020
77,North Country,Essex,1,0,12/15/2020
78,North Country,Franklin,0,0,12/15/2020
79,Mohawk Valley,Fulton,3,0,12/15/2020
80,Finger Lakes,Genesee,0,0,12/15/2020
81,Capital Region,Greene,5,0,12/15/2020
82,North Country,Hamilton,0,0,12/15/2020
83,Mohawk Valley,Herkimer,0,0,12/15/2020
84,North Country,Jefferson,0,0,12/15/2020
85,New York City,Kings,207,0,12/15/2020
86,North Country,Lewis,0,0,12/15/2020
87,Finger Lakes,Livingston,0,0,12/15/2020
88,Central New York,Madison,0,0,12/15/2020
89,Finger Lakes,Monroe,10,0,12/15/2020
90,Mohawk Valley,Montgomery,3,0,12/15/2020
91,Long Island,Nassau,101,0,12/15/2020
92,New York City,New York,472,1,12/15/2020
93,Western New York,Niagara,0,0,12/15/2020
94,Mohawk Valley,Oneida,0,0,12/15/2020
95,Central New York,Onondaga,12,0,12/15/2020
96,Finger Lakes,Ontario,0,0,12/15/2020
97,Mid-Hudson,Orange,9,0,12/15/2020
98,Finger Lakes,Orleans,0,0,12/15/2020
99,Central New York,Oswego,0,0,12/15/2020
100,Mohawk Valley,Otsego,0,0,12/15/2020
101,Mid-Hudson,Putnam,3,0,12/15/2020
102,New York City,Queens,151,1,12/15/2020
103,Capital Region,Rensselaer,40,0,12/15/2020
104,New York City,Richmond,61,0,12/15/2020
105,Mid-Hudson,Rockland,25,0,12/15/2020
106,Capital Region,Saratoga,45,0,12/15/2020
107,Capital Region,Schenectady,72,0,12/15/2020
108,Mohawk Valley,Schoharie,1,0,12/15/2020
109,Southern Tier,Schuyler,0,0,12/15/2020
110,Finger Lakes,Seneca,0,0,12/15/2020
111,North Country,St. Lawrence,0,0,12/15/2020
112,Southern Tier,Steuben,0,0,12/15/2020
113,Long Island,Suffolk,25,0,12/15/2020
114,Mid-Hudson,Sullivan,0,0,12/15/2020
115,Southern Tier,Tioga,0,0,12/15/2020
116,Southern Tier,Tompkins,0,0,12/15/2020
117,Mid-Hudson,Ulster,6,0,12/15/2020
118,Capital Region,Warren,5,0,12/15/2020
119,Capital Region,Washington,2,0,12/15/2020
120,Finger Lakes,Wayne,0,0,12/15/2020
121,Mid-Hudson,Westchester,81,0,12/15/2020
122,Finger Lakes,Wyoming,0,0,12/15/2020
123,Finger Lakes,Yates,0,0,12/15/2020
124,Capital Region,Albany,375,3,12/16/2020
125,Western New York,Allegany,7,0,12/16/2020
126,New York City,Bronx,196,1,12/16/2020
127,Southern Tier,Broome,1,0,12/16/2020
128,Western New York,Cattaraugus,21,0,12/16/2020
129,Central New York,Cayuga,9,0,12/16/2020
130,Western New York,Chautauqua,21,0,12/16/2020
131,Southern Tier,Chemung,2,0,12/16/2020
132,Southern Tier,Chenango,0,0,12/16/2020
133,North Country,Clinton,10,0,12/16/2020
134,Capital Region,Columbia,17,0,12/16/2020
135,Central New York,Cortland,0,0,12/16/2020
136,Southern Tier,Delaware,1,0,12/16/2020
137,Mid-Hudson,Dutchess,170,0,12/16/2020
138,Western New York,Erie,27,0,12/16/2020
139,North Country,Essex,1,0,12/16/2020
140,North Country,Franklin,7,0,12/16/2020
141,Mohawk Valley,Fulton,9,0,12/16/2020
142,Finger Lakes,Genesee,3,0,12/16/2020
143,Capital Region,Greene,11,0,12/16/2020
144,North Country,Hamilton,0,0,12/16/2020
145,Mohawk Valley,Herkimer,4,0,12/16/2020
146,North Country,Jefferson,1,0,12/16/2020
147,New York City,Kings,541,1,12/16/2020
148,North Country,Lewis,0,0,12/16/2020
149,Finger Lakes,Livingston,17,0,12/16/2020
150,Central New York,Madison,17,0,12/16/2020
151,Finger Lakes,Monroe,401,1,12/16/2020
152,Mohawk Valley,Montgomery,10,0,12/16/2020
153,Long Island,Nassau,487,0,12/16/2020
154,New York City,New York,1482,2,12/16/2020
155,Western New York,Niagara,0,0,12/16/2020
156,Mohawk Valley,Oneida,39,0,12/16/2020
157,Central New York,Onondaga,206,1,12/16/2020
158,Finger Lakes,Ontario,20,0,12/16/2020
159,Mid-Hudson,Orange,63,0,12/16/2020
160,Finger Lakes,Orleans,3,0,12/16/2020
161,Central New York,Oswego,8,0,12/16/2020
162,Mohawk Valley,Otsego,0,0,12/16/2020
163,Mid-Hudson,Putnam,33,1,12/16/2020
164,New York City,Queens,578,3,12/16/2020
165,Capital Region,Rensselaer,99,1,12/16/2020
166,New York City,Richmond,190,0,12/16/2020
167,Mid-Hudson,Rockland,89,0,12/16/2020
168,Capital Region,Saratoga,125,0,12/16/2020
169,Capital Region,Schenectady,166,0,12/16/2020
170,Mohawk Valley,Schoharie,8,0,12/16/2020
171,Southern Tier,Schuyler,0,0,12/16/2020
172,Finger Lakes,Seneca,1,0,12/16/2020
173,North Country,St. Lawrence,227,2,12/16/2020
174,Southern Tier,Steuben,1,0,12/16/2020
175,Long Island,Suffolk,211,2,12/16/2020
176,Mid-Hudson,Sullivan,2,0,12/16/2020
177,Southern Tier,Tioga,2,0,12/16/2020
178,Southern Tier,Tompkins,3,0,12/16/2020
179,Mid-Hudson,Ulster,52,0,12/16/2020
180,Capital Region,Warren,14,0,12/16/2020
181,Capital Region,Washington,7,0,12/16/2020
182,Finger Lakes,Wayne,9,1,12/16/2020
183,Mid-Hudson,Westchester,589,2,12/16/2020
184,Finger Lakes,Wyoming,3,0,12/16/2020
185,Finger Lakes,Yates,0,0,12/16/2020
186,Capital Region,Albany,457,3,12/17/2020
187,Western New York,Allegany,23,0,12/17/2020
188,New York City,Bronx,347,1,12/17/2020
189,Southern Tier,Broome,4,0,12/17/2020
190,Western New York,Cattaraugus,70,0,12/17/2020
191,Central New York,Cayuga,18,0,12/17/2020
192,Western New York,Chautauqua,102,0,12/17/2020
193,Southern Tier,Chemung,3,0,12/17/2020
194,Southern Tier,Chenango,0,0,12/17/2020
195,North Country,Clinton,23,0,12/17/2020
196,Capital Region,Columbia,25,0,12/17/2020
197,Central New York,Cortland,0,0,12/17/2020
198,Southern Tier,Delaware,1,0,12/17/2020
199,Mid-Hudson,Dutchess,220,1,12/17/2020
200,Western New York,Erie,722,2,12/17/2020
201,North Country,Essex,10,0,12/17/2020
202,North Country,Franklin,24,0,12/17/2020
203,Mohawk Valley,Fulton,11,0,12/17/2020
204,Finger Lakes,Genesee,7,0,12/17/2020
205,Capital Region,Greene,14,0,12/17/2020
206,North Country,Hamilton,0,0,12/17/2020
207,Mohawk Valley,Herkimer,23,0,12/17/2020
208,North Country,Jefferson,5,0,12/17/2020
209,New York City,Kings,1097,7,12/17/2020
210,North Country,Lewis,3,0,12/17/2020
211,Finger Lakes,Livingston,23,0,12/17/2020
212,Central New York,Madison,32,0,12/17/2020
213,Finger Lakes,Monroe,596,1,12/17/2020
214,Mohawk Valley,Montgomery,14,0,12/17/2020
215,Long Island,Nassau,952,1,12/17/2020
216,New York City,New York,2412,5,12/17/2020
217,Western New York,Niagara,49,0,12/17/2020
218,Mohawk Valley,Oneida,157,0,12/17/2020
219,Central New York,Onondaga,431,2,12/17/2020
220,Finger Lakes,Ontario,29,0,12/17/2020
221,Mid-Hudson,Orange,217,3,12/17/2020
222,Finger Lakes,Orleans,7,0,12/17/2020
223,Central New York,Oswego,18,0,12/17/2020
224,Mohawk Valley,Otsego,1,0,12/17/2020
225,Mid-Hudson,Putnam,54,1,12/17/2020
226,New York City,Queens,1094,4,12/17/2020
227,Capital Region,Rensselaer,131,1,12/17/2020
228,New York City,Richmond,415,0,12/17/2020
229,Mid-Hudson,Rockland,267,0,12/17/2020
230,Capital Region,Saratoga,193,0,12/17/2020
231,Capital Region,Schenectady,214,0,12/17/2020
232,Mohawk Valley,Schoharie,8,0,12/17/2020
233,Southern Tier,Schuyler,0,0,12/17/2020
234,Finger Lakes,Seneca,1,0,12/17/2020
235,North Country,St. Lawrence,357,2,12/17/2020
236,Southern Tier,Steuben,2,0,12/17/2020
237,Long Island,Suffolk,681,3,12/17/2020
238,Mid-Hudson,Sullivan,6,0,12/17/2020
239,Southern Tier,Tioga,3,0,12/17/2020
240,Southern Tier,Tompkins,5,0,12/17/2020
241,Mid-Hudson,Ulster,79,0,12/17/2020
242,Capital Region,Warren,39,0,12/17/2020
243,Capital Region,Washington,13,0,12/17/2020
244,Finger Lakes,Wayne,17,1,12/17/2020
245,Mid-Hudson,Westchester,944,4,12/17/2020
246,Finger Lakes,Wyoming,11,0,12/17/2020
247,Finger Lakes,Yates,1,0,12/17/2020
248,Capital Region,Albany,699,3,12/18/2020
249,Western New York,Allegany,42,0,12/18/2020
250,New York City,Bronx,603,1,12/18/2020
251,Southern Tier,Broome,8,0,12/18/2020
252,Western New York,Cattaraugus,146,0,12/18/2020
253,Central New York,Cayuga,25,0,12/18/2020
254,Western New York,Chautauqua,135,0,12/18/2020
255,Southern Tier,Chemung,5,1,12/18/2020
256,Southern Tier,Chenango,1,0,12/18/2020
257,North Country,Clinton,28,0,12/18/2020
258,Capital Region,Columbia,48,0,12/18/2020
259,Central New York,Cortland,1,0,12/18/2020
260,Southern Tier,Delaware,2,0,12/18/2020
261,Mid-Hudson,Dutchess,282,1,12/18/2020
262,Western New York,Erie,1634,2,12/18/2020
263,North Country,Essex,19,0,12/18/2020
264,North Country,Franklin,56,0,12/18/2020
265,Mohawk Valley,Fulton,16,0,12/18/2020
266,Finger Lakes,Genesee,20,0,12/18/2020
267,Capital Region,Greene,23,0,12/18/2020
268,North Country,Hamilton,0,0,12/18/2020
269,Mohawk Valley,Herkimer,41,0,12/18/2020
270,North Country,Jefferson,16,0,12/18/2020
271,New York City,Kings,2057,13,12/18/2020
272,North Country,Lewis,3,0,12/18/2020
273,Finger Lakes,Livingston,36,0,12/18/2020
274,Central New York,Madison,44,0,12/18/2020
275,Finger Lakes,Monroe,1126,1,12/18/2020
276,Mohawk Valley,Montgomery,20,0,12/18/2020
277,Long Island,Nassau,1649,4,12/18/2020
278,New York City,New York,3495,10,12/18/2020
279,Western New York,Niagara,135,0,12/18/2020
280,Mohawk Valley,Oneida,261,0,12/18/2020
281,Central New York,Onondaga,705,2,12/18/2020
282,Finger Lakes,Ontario,55,0,12/18/2020
283,Mid-Hudson,Orange,476,5,12/18/2020
284,Finger Lakes,Orleans,11,0,12/18/2020
285,Central New York,Oswego,29,0,12/18/2020
286,Mohawk Valley,Otsego,6,0,12/18/2020
287,Mid-Hudson,Putnam,76,2,12/18/2020
288,New York City,Queens,1764,8,12/18/2020
289,Capital Region,Rensselaer,186,1,12/18/2020
290,New York City,Richmond,671,0,12/18/2020
291,Mid-Hudson,Rockland,429,0,12/18/2020
292,Capital Region,Saratoga,344,0,12/18/2020
293,Capital Region,Schenectady,271,0,12/18/2020
294,Mohawk Valley,Schoharie,12,0,12/18/2020
295,Southern Tier,Schuyler,0,0,12/18/2020
296,Finger Lakes,Seneca,4,0,12/18/2020
297,North Country,St. Lawrence,416,2,12/18/2020
298,Southern Tier,Steuben,6,0,12/18/2020
299,Long Island,Suffolk,1302,6,12/18/2020
300,Mid-Hudson,Sullivan,23,0,12/18/2020
301,Southern Tier,Tioga,3,0,12/18/2020
302,Southern Tier,Tompkins,7,0,12/18/2020
303,Mid-Hudson,Ulster,152,1,12/18/2020
304,Capital Region,Warren,74,0,12/18/2020
305,Capital Region,Washington,31,0,12/18/2020
306,Finger Lakes,Wayne,30,1,12/18/2020
307,Mid-Hudson,Westchester,1428,6,12/18/2020
308,Finger Lakes,Wyoming,14,0,12/18/2020
309,Finger Lakes,Yates,3,0,12/18/2020
310,Capital Region,Albany,780,3,12/19/2020
311,Western New York,Allegany,43,0,12/19/2020
312,New York City,Bronx,682,1,12/19/2020
313,Southern Tier,Broome,11,0,12/19/2020
314,Western New York,Cattaraugus,147,0,12/19/2020
315,Central New York,Cayuga,30,0,12/19/2020
316,Western New York,Chautauqua,135,0,12/19/2020
317,Southern Tier,Chemung,6,1,12/19/2020
318,Southern Tier,Chenango,3,0,12/19/2020
319,North Country,Clinton,40,0,12/19/2020
320,Capital Region,Columbia,82,0,12/19/2020
321,Central New York,Cortland,3,0,12/19/2020
322,Southern Tier,Delaware,4,0,12/19/2020
323,Mid-Hudson,Dutchess,321,2,12/19/2020
324,Western New York,Erie,1852,2,12/19/2020
325,North Country,Essex,24,0,12/19/2020
326,North Country,Franklin,93,0,12/19/2020
327,Mohawk Valley,Fulton,18,0,12/19/2020
328,Finger Lakes,Genesee,20,0,12/19/2020
329,Capital Region,Greene,33,0,12/19/2020
330,North Country,Hamilton,0,0,12/19/2020
331,Mohawk Valley,Herkimer,55,0,12/19/2020
332,North Country,Jefferson,21,0,12/19/2020
333,New York City,Kings,2863,15,12/19/2020
334,North Country,Lewis,4,0,12/19/2020
335,Finger Lakes,Livingston,42,0,12/19/2020
336,Central New York,Madison,61,0,12/19/2020
337,Finger Lakes,Monroe,1407,2,12/19/2020
338,Mohawk Valley,Montgomery,34,0,12/19/2020
339,Long Island,Nassau,2314,5,12/19/2020
340,New York City,New York,3915,10,12/19/2020
341,Western New York,Niagara,205,0,12/19/2020
342,Mohawk Valley,Oneida,320,0,12/19/2020
343,Central New York,Onondaga,824,2,12/19/2020
344,Finger Lakes,Ontario,92,0,12/19/2020
345,Mid-Hudson,Orange,782,6,12/19/2020
346,Finger Lakes,Orleans,15,0,12/19/2020
347,Central New York,Oswego,33,0,12/19/2020
348,Mohawk Valley,Otsego,71,0,12/19/2020
349,Mid-Hudson,Putnam,89,2,12/19/2020
350,New York City,Queens,2070,9,12/19/2020
351,Capital Region,Rensselaer,208,1,12/19/2020
352,New York City,Richmond,905,0,12/19/2020
353,Mid-Hudson,Rockland,589,0,12/19/2020
354,Capital Region,Saratoga,481,1,12/19/2020
355,Capital Region,Schenectady,297,0,12/19/2020
356,Mohawk Valley,Schoharie,13,0,12/19/2020
357,Southern Tier,Schuyler,0,0,12/19/2020
358,Finger Lakes,Seneca,7,0,12/19/2020
359,North Country,St. Lawrence,512,2,12/19/2020
360,Southern Tier,Steuben,6,0,12/19/2020
361,Long Island,Suffolk,1579,7,12/19/2020
362,Mid-Hudson,Sullivan,40,0,12/19/2020
363,Southern Tier,Tioga,3,0,12/19/2020
364,Southern Tier,Tompkins,8,0,12/19/2020
365,Mid-Hudson,Ulster,183,1,12/19/2020
366,Capital Region,Warren,108,0,12/19/2020
367,Capital Region,Washington,43,0,12/19/2020
368,Finger Lakes,Wayne,39,1,12/19/2020
369,Mid-Hudson,Westchester,1607,7,12/19/2020
370,Finger Lakes,Wyoming,15,0,12/19/2020
371,Finger Lakes,Yates,4,0,12/19/2020
372,Capital Region,Albany,805,3,12/20/2020
373,Western New York,Allegany,47,0,12/20/2020
374,New York City,Bronx,715,1,12/20/2020
375,Southern Tier,Broome,16,0,12/20/2020
376,Western New York,Cattaraugus,162,0,12/20/2020
377,Central New York,Cayuga,32,0,12/20/2020
378,Western New York,Chautauqua,141,0,12/20/2020
379,Southern Tier,Chemung,6,1,12/20/2020
380,Southern Tier,Chenango,8,0,12/20/2020
381,North Country,Clinton,41,0,12/20/2020
382,Capital Region,Columbia,84,0,12/20/2020
383,Central New York,Cortland,3,0,12/20/2020
384,Southern Tier,Delaware,6,0,12/20/2020
385,Mid-Hudson,Dutchess,328,2,12/20/2020
386,Western New York,Erie,2113,3,12/20/2020
387,North Country,Essex,26,0,12/20/2020
388,North Country,Franklin,129,0,12/20/2020
389,Mohawk Valley,Fulton,29,0,12/20/2020
390,Finger Lakes,Genesee,23,0,12/20/2020
391,Capital Region,Greene,35,0,12/20/2020
392,North Country,Hamilton,1,0,12/20/2020
393,Mohawk Valley,Herkimer,75,0,12/20/2020
394,North Country,Jefferson,24,0,12/20/2020
395,New York City,Kings,3187,15,12/20/2020
396,North Country,Lewis,4,0,12/20/2020
397,Finger Lakes,Livingston,47,0,12/20/2020
398,Central New York,Madison,70,0,12/20/2020
399,Finger Lakes,Monroe,1577,2,12/20/2020
400,Mohawk Valley,Montgomery,62,0,12/20/2020
401,Long Island,Nassau,2502,7,12/20/2020
402,New York City,New York,4146,12,12/20/2020
403,Western New York,Niagara,223,0,12/20/2020
404,Mohawk Valley,Oneida,353,0,12/20/2020
405,Central New York,Onondaga,899,2,12/20/2020
406,Finger Lakes,Ontario,98,0,12/20/2020
407,Mid-Hudson,Orange,856,7,12/20/2020
408,Finger Lakes,Orleans,19,0,12/20/2020
409,Central New York,Oswego,38,0,12/20/2020
410,Mohawk Valley,Otsego,128,0,12/20/2020
411,Mid-Hudson,Putnam,93,2,12/20/2020
412,New York City,Queens,2212,10,12/20/2020
413,Capital Region,Rensselaer,220,1,12/20/2020
414,New York City,Richmond,1063,0,12/20/2020
415,Mid-Hudson,Rockland,603,0,12/20/2020
416,Capital Region,Saratoga,489,1,12/20/2020
417,Capital Region,Schenectady,314,0,12/20/2020
418,Mohawk Valley,Schoharie,19,0,12/20/2020
419,Southern Tier,Schuyler,0,0,12/20/2020
420,Finger Lakes,Seneca,7,0,12/20/2020
421,North Country,St. Lawrence,598,2,12/20/2020
422,Southern Tier,Steuben,6,0,12/20/2020
423,Long Island,Suffolk,1738,7,12/20/2020
424,Mid-Hudson,Sullivan,53,0,12/20/2020
425,Southern Tier,Tioga,3,0,12/20/2020
426,Southern Tier,Tompkins,9,0,12/20/2020
427,Mid-Hudson,Ulster,210,2,12/20/2020
428,Capital Region,Warren,108,0,12/20/2020
429,Capital Region,Washington,43,0,12/20/2020
430,Finger Lakes,Wayne,48,1,12/20/2020
431,Mid-Hudson,Westchester,1662,8,12/20/2020
432,Finger Lakes,Wyoming,21,0,12/20/2020
433,Finger Lakes,Yates,4,0,12/20/2020
434,Capital Region,Albany,873,3,12/21/2020
435,Western New York,Allegany,52,0,12/21/2020
436,New York City,Bronx,922,1,12/21/2020
437,Southern Tier,Broome,21,0,12/21/2020
438,Western New York,Cattaraugus,178,0,12/21/2020
439,Central New York,Cayuga,65,0,12/21/2020
440,Western New York,Chautauqua,167,0,12/21/2020
441,Southern Tier,Chemung,6,1,12/21/2020
442,Southern Tier,Chenango,19,0,12/21/2020
443,North Country,Clinton,94,0,12/21/2020
444,Capital Region,Columbia,104,0,12/21/2020
445,Central New York,Cortland,16,0,12/21/2020
446,Southern Tier,Delaware,7,0,12/21/2020
447,Mid-Hudson,Dutchess,413,5,12/21/2020
448,Western New York,Erie,2915,3,12/21/2020
449,North Country,Essex,37,0,12/21/2020
450,North Country,Franklin,170,0,12/21/2020
451,Mohawk Valley,Fulton,75,0,12/21/2020
452,Finger Lakes,Genesee,30,0,12/21/2020
453,Capital Region,Greene,46,0,12/21/2020
454,North Country,Hamilton,1,0,12/21/2020
455,Mohawk Valley,Herkimer,87,0,12/21/2020
456,North Country,Jefferson,27,0,12/21/2020
457,New York City,Kings,3935,16,12/21/2020
458,North Country,Lewis,5,0,12/21/2020
459,Finger Lakes,Livingston,56,0,12/21/2020
460,Central New York,Madison,118,0,12/21/2020
461,Finger Lakes,Monroe,2046,2,12/21/2020
462,Mohawk Valley,Montgomery,103,0,12/21/2020
463,Long Island,Nassau,3018,9,12/21/2020
464,New York City,New York,4864,13,12/21/2020
465,Western New York,Niagara,408,0,12/21/2020
466,Mohawk Valley,Oneida,399,0,12/21/2020
467,Central New York,Onondaga,1076,4,12/21/2020
468,Finger Lakes,Ontario,117,0,12/21/2020
469,Mid-Hudson,Orange,944,9,12/21/2020
470,Finger Lakes,Orleans,27,0,12/21/2020
471,Central New York,Oswego,55,0,12/21/2020
472,Mohawk Valley,Otsego,161,0,12/21/2020
473,Mid-Hudson,Putnam,106,3,12/21/2020
474,New York City,Queens,2836,13,12/21/2020
475,Capital Region,Rensselaer,237,2,12/21/2020
476,New York City,Richmond,1277,1,12/21/2020
477,Mid-Hudson,Rockland,669,0,12/21/2020
478,Capital Region,Saratoga,564,2,12/21/2020
479,Capital Region,Schenectady,362,0,12/21/2020
480,Mohawk Valley,Schoharie,21,0,12/21/2020
481,Southern Tier,Schuyler,0,0,12/21/2020
482,Finger Lakes,Seneca,7,0,12/21/2020
483,North Country,St. Lawrence,647,2,12/21/2020
484,Southern Tier,Steuben,10,0,12/21/2020
485,Long Island,Suffolk,2111,8,12/21/2020
486,Mid-Hudson,Sullivan,69,0,12/21/2020
487,Southern Tier,Tioga,3,0,12/21/2020
488,Southern Tier,Tompkins,18,0,12/21/2020
489,Mid-Hudson,Ulster,257,2,12/21/2020
490,Capital Region,Warren,131,0,12/21/2020
491,Capital Region,Washington,58,0,12/21/2020
492,Finger Lakes,Wayne,62,1,12/21/2020
493,Mid-Hudson,Westchester,1989,10,12/21/2020
494,Finger Lakes,Wyoming,29,0,12/21/2020
495,Finger Lakes,Yates,4,0,12/21/2020
496,Capital Region,Albany,1080,3,12/22/2020
497,Western New York,Allegany,71,0,12/22/2020
498,New York City,Bronx,1332,2,12/22/2020
499,Southern Tier,Broome,45,0,12/22/2020
500,Western New York,Cattaraugus,229,0,12/22/2020
501,Central New York,Cayuga,109,0,12/22/2020
502,Western New York,Chautauqua,185,0,12/22/2020
503,Southern Tier,Chemung,6,1,12/22/2020
504,Southern Tier,Chenango,38,0,12/22/2020
505,North Country,Clinton,202,0,12/22/2020
506,Capital Region,Columbia,117,0,12/22/2020
507,Central New York,Cortland,115,0,12/22/2020
508,Southern Tier,Delaware,13,0,12/22/2020
509,Mid-Hudson,Dutchess,552,8,12/22/2020
510,Western New York,Erie,3852,6,12/22/2020
511,North Country,Essex,60,0,12/22/2020
512,North Country,Franklin,200,0,12/22/2020
513,Mohawk Valley,Fulton,84,0,12/22/2020
514,Finger Lakes,Genesee,38,0,12/22/2020
515,Capital Region,Greene,52,0,12/22/2020
516,North Country,Hamilton,1,0,12/22/2020
517,Mohawk Valley,Herkimer,104,0,12/22/2020
518,North Country,Jefferson,37,0,12/22/2020
519,New York City,Kings,5223,23,12/22/2020
520,North Country,Lewis,9,0,12/22/2020
521,Finger Lakes,Livingston,88,0,12/22/2020
522,Central New York,Madison,180,0,12/22/2020
523,Finger Lakes,Monroe,2685,4,12/22/2020
524,Mohawk Valley,Montgomery,107,0,12/22/2020
525,Long Island,Nassau,4172,10,12/22/2020
526,New York City,New York,6618,19,12/22/2020
527,Western New York,Niagara,563,1,12/22/2020
528,Mohawk Valley,Oneida,517,0,12/22/2020
529,Central New York,Onondaga,1438,5,12/22/2020
530,Finger Lakes,Ontario,243,1,12/22/2020
531,Mid-Hudson,Orange,1187,12,12/22/2020
532,Finger Lakes,Orleans,33,0,12/22/2020
533,Central New York,Oswego,86,0,12/22/2020
534,Mohawk Valley,Otsego,186,0,12/22/2020
535,Mid-Hudson,Putnam,137,3,12/22/2020
536,New York City,Queens,3923,15,12/22/2020
537,Capital Region,Rensselaer,289,2,12/22/2020
538,New York City,Richmond,1778,3,12/22/2020
539,Mid-Hudson,Rockland,860,0,12/22/2020
540,Capital Region,Saratoga,694,2,12/22/2020
541,Capital Region,Schenectady,398,0,12/22/2020
542,Mohawk Valley,Schoharie,27,0,12/22/2020
543,Southern Tier,Schuyler,2,0,12/22/2020
544,Finger Lakes,Seneca,33,0,12/22/2020
545,North Country,St. Lawrence,682,3,12/22/2020
546,Southern Tier,Steuben,83,0,12/22/2020
547,Long Island,Suffolk,2923,12,12/22/2020
548,Mid-Hudson,Sullivan,87,1,12/22/2020
549,Southern Tier,Tioga,5,0,12/22/2020
550,Southern Tier,Tompkins,33,0,12/22/2020
551,Mid-Hudson,Ulster,304,2,12/22/2020
552,Capital Region,Warren,154,0,12/22/2020
553,Capital Region,Washington,80,0,12/22/2020
554,Finger Lakes,Wayne,95,1,12/22/2020
555,Mid-Hudson,Westchester,2647,12,12/22/2020
556,Finger Lakes,Wyoming,60,0,12/22/2020
557,Finger Lakes,Yates,17,0,12/22/2020
558,Capital Region,Albany,2027,6,12/23/2020
559,Western New York,Allegany,139,0,12/23/2020
560,New York City,Bronx,2022,4,12/23/2020
561,Southern Tier,Broome,87,0,12/23/2020
562,Western New York,Cattaraugus,279,0,12/23/2020
563,Central New York,Cayuga,137,0,12/23/2020
