,Region,County,First Dose,Series Complete,Report as of
115,Southern Tier,Tioga,0,0,12/15/2020
116,Southern Tier,Tompkins,0,0,12/15/2020
117,Mid-Hudson,Ulster,6,0,12/15/2020
118,Capital Region,Warren,6,0,12/15/2020
119,Capital Region,Washington,2,0,12/15/2020
120,Finger Lakes,Wayne,0,0,12/15/2020
121,Mid-Hudson,Westchester,81,0,12/15/2020
122,Finger Lakes,Wyoming,0,0,12/15/2020
123,Finger Lakes,Yates,0,0,12/15/2020
124,Capital Region,Albany,375,1,12/16/2020
125,Western New York,Allegany,6,0,12/16/2020
126,New York City,Bronx,190,2,12/16/2020
127,Southern Tier,Broome,1,0,12/16/2020
128,Western New York,Cattaraugus,21,0,12/16/2020
129,Central New York,Cayuga,8,0,12/16/2020
130,Western New York,Chautauqua,21,0,12/16/2020
131,Southern Tier,Chemung,2,0,12/16/2020
132,Southern Tier,Chenango,0,0,12/16/2020
133,North Country,Clinton,11,0,12/16/2020
134,Capital Region,Columbia,17,0,12/16/2020
135,Central New York,Cortland,1,0,12/16/2020
136,Southern Tier,Delaware,1,0,12/16/2020
137,Mid-Hudson,Dutchess,170,0,12/16/2020
138,Western New York,Erie,28,0,12/16/2020
139,North Country,Essex,1,0,12/16/2020
140,North Country,Franklin,7,0,12/16/2020
141,Mohawk Valley,Fulton,8,0,12/16/2020
142,Finger Lakes,Genesee,3,0,12/16/2020
143,Capital Region,Greene,11,0,12/16/2020
144,North Country,Hamilton,0,0,12/16/2020
145,Mohawk Valley,Herkimer,4,0,12/16/2020
146,North Country,Jefferson,1,0,12/16/2020
147,New York City,Kings,546,1,12/16/2020
148,North Country,Lewis,0,0,12/16/2020
149,Finger Lakes,Livingston,17,0,12/16/2020
150,Central New York,Madison,17,0,12/16/2020
151,Finger Lakes,Monroe,403,1,12/16/2020
152,Mohawk Valley,Montgomery,9,0,12/16/2020
153,Long Island,Nassau,489,0,12/16/2020
154,New York City,New York,1475,2,12/16/2020
155,Western New York,Niagara,1,0,12/16/2020
156,Mohawk Valley,Oneida,39,0,12/16/2020
157,Central New York,Onondaga,207,1,12/16/2020
158,Finger Lakes,Ontario,21,0,12/16/2020
159,Mid-Hudson,Orange,63,0,12/16/2020
160,Finger Lakes,Orleans,3,0,12/16/2020
161,Central New York,Oswego,10,0,12/16/2020
162,Mohawk Valley,Otsego,0,0,12/16/2020
163,Mid-Hudson,Putnam,34,1,12/16/2020
164,New York City,Queens,574,3,12/16/2020
165,Capital Region,Rensselaer,100,0,12/16/2020
166,New York City,Richmond,184,0,12/16/2020
167,Mid-Hudson,Rockland,87,1,12/16/2020
168,Capital Region,Saratoga,124,0,12/16/2020
169,Capital Region,Schenectady,166,1,12/16/2020
170,Mohawk Valley,Schoharie,8,0,12/16/2020
171,Southern Tier,Schuyler,0,0,12/16/2020
172,Finger Lakes,Seneca,1,0,12/16/2020
173,North Country,St. Lawrence,226,1,12/16/2020
174,Southern Tier,Steuben,0,0,12/16/2020
175,Long Island,Suffolk,212,1,12/16/2020
176,Mid-Hudson,Sullivan,2,0,12/16/2020
177,Southern Tier,Tioga,2,0,12/16/2020
178,Southern Tier,Tompkins,1,0,12/16/2020
179,Mid-Hudson,Ulster,53,0,12/16/2020
180,Capital Region,Warren,15,0,12/16/2020
181,Capital Region,Washington,7,0,12/16/2020
182,Finger Lakes,Wayne,9,1,12/16/2020
183,Mid-Hudson,Westchester,583,2,12/16/2020
184,Finger Lakes,Wyoming,3,0,12/16/2020
185,Finger Lakes,Yates,0,0,12/16/2020
186,Capital Region,Albany,458,1,12/17/2020
187,Western New York,Allegany,21,0,12/17/2020
188,New York City,Bronx,341,2,12/17/2020
189,Southern Tier,Broome,3,0,12/17/2020
190,Western New York,Cattaraugus,70,0,12/17/2020
191,Central New York,Cayuga,18,0,12/17/2020
192,Western New York,Chautauqua,101,0,12/17/2020
193,Southern Tier,Chemung,3,0,12/17/2020
194,Southern Tier,Chenango,0,0,12/17/2020
195,North Country,Clinton,22,0,12/17/2020
196,Capital Region,Columbia,25,0,12/17/2020
197,Central New York,Cortland,2,0,12/17/2020
198,Southern Tier,Delaware,1,0,12/17/2020
199,Mid-Hudson,Dutchess,219,0,12/17/2020
200,Western New York,Erie,724,1,12/17/2020
201,North Country,Essex,10,0,12/17/2020
202,North Country,Franklin,25,0,12/17/2020
203,Mohawk Valley,Fulton,11,0,12/17/2020
204,Finger Lakes,Genesee,7,0,12/17/2020
205,Capital Region,Greene,14,0,12/17/2020
206,North Country,Hamilton,0,0,12/17/2020
207,Mohawk Valley,Herkimer,24,0,12/17/2020
208,North Country,Jefferson,4,0,12/17/2020
209,New York City,Kings,1105,7,12/17/2020
210,North Country,Lewis,3,0,12/17/2020
211,Finger Lakes,Livingston,23,0,12/17/2020
212,Central New York,Madison,33,0,12/17/2020
213,Finger Lakes,Monroe,596,1,12/17/2020
214,Mohawk Valley,Montgomery,13,0,12/17/2020
215,Long Island,Nassau,957,1,12/17/2020
216,New York City,New York,2402,5,12/17/2020
217,Western New York,Niagara,50,0,12/17/2020
218,Mohawk Valley,Oneida,156,0,12/17/2020
219,Central New York,Onondaga,434,1,12/17/2020
220,Finger Lakes,Ontario,32,0,12/17/2020
221,Mid-Hudson,Orange,217,2,12/17/2020
222,Finger Lakes,Orleans,7,0,12/17/2020
223,Central New York,Oswego,19,0,12/17/2020
224,Mohawk Valley,Otsego,1,0,12/17/2020
225,Mid-Hudson,Putnam,54,1,12/17/2020
226,New York City,Queens,1083,4,12/17/2020
227,Capital Region,Rensselaer,132,0,12/17/2020
228,New York City,Richmond,409,0,12/17/2020
229,Mid-Hudson,Rockland,261,1,12/17/2020
230,Capital Region,Saratoga,193,0,12/17/2020
231,Capital Region,Schenectady,216,1,12/17/2020
232,Mohawk Valley,Schoharie,8,0,12/17/2020
233,Southern Tier,Schuyler,0,0,12/17/2020
234,Finger Lakes,Seneca,1,0,12/17/2020
235,North Country,St. Lawrence,354,1,12/17/2020
236,Southern Tier,Steuben,2,0,12/17/2020
237,Long Island,Suffolk,683,2,12/17/2020
238,Mid-Hudson,Sullivan,6,0,12/17/2020
239,Southern Tier,Tioga,3,0,12/17/2020
240,Southern Tier,Tompkins,3,0,12/17/2020
241,Mid-Hudson,Ulster,81,0,12/17/2020
242,Capital Region,Warren,40,0,12/17/2020
243,Capital Region,Washington,12,0,12/17/2020
244,Finger Lakes,Wayne,16,1,12/17/2020
245,Mid-Hudson,Westchester,939,4,12/17/2020
246,Finger Lakes,Wyoming,11,0,12/17/2020
247,Finger Lakes,Yates,1,0,12/17/2020
248,Capital Region,Albany,700,2,12/18/2020
249,Western New York,Allegany,40,0,12/18/2020
250,New York City,Bronx,592,3,12/18/2020
251,Southern Tier,Broome,7,0,12/18/2020
252,Western New York,Cattaraugus,144,0,12/18/2020
253,Central New York,Cayuga,25,0,12/18/2020
254,Western New York,Chautauqua,133,0,12/18/2020
255,Southern Tier,Chemung,4,0,12/18/2020
256,Southern Tier,Chenango,1,0,12/18/2020
257,North Country,Clinton,27,1,12/18/2020
258,Capital Region,Columbia,48,0,12/18/2020
259,Central New York,Cortland,3,0,12/18/2020
260,Southern Tier,Delaware,2,0,12/18/2020
261,Mid-Hudson,Dutchess,279,0,12/18/2020
262,Western New York,Erie,1641,1,12/18/2020
263,North Country,Essex,19,0,12/18/2020
264,North Country,Franklin,55,0,12/18/2020
265,Mohawk Valley,Fulton,16,0,12/18/2020
266,Finger Lakes,Genesee,19,0,12/18/2020
267,Capital Region,Greene,23,0,12/18/2020
268,North Country,Hamilton,0,0,12/18/2020
269,Mohawk Valley,Herkimer,41,0,12/18/2020
270,North Country,Jefferson,17,0,12/18/2020
271,New York City,Kings,2057,13,12/18/2020
272,North Country,Lewis,3,0,12/18/2020
273,Finger Lakes,Livingston,37,0,12/18/2020
274,Central New York,Madison,46,0,12/18/2020
275,Finger Lakes,Monroe,1122,1,12/18/2020
276,Mohawk Valley,Montgomery,19,0,12/18/2020
277,Long Island,Nassau,1664,2,12/18/2020
278,New York City,New York,3487,9,12/18/2020
279,Western New York,Niagara,135,0,12/18/2020
280,Mohawk Valley,Oneida,260,0,12/18/2020
281,Central New York,Onondaga,708,1,12/18/2020
282,Finger Lakes,Ontario,59,0,12/18/2020
283,Mid-Hudson,Orange,476,4,12/18/2020
284,Finger Lakes,Orleans,11,0,12/18/2020
285,Central New York,Oswego,31,0,12/18/2020
286,Mohawk Valley,Otsego,6,0,12/18/2020
287,Mid-Hudson,Putnam,78,2,12/18/2020
288,New York City,Queens,1752,8,12/18/2020
289,Capital Region,Rensselaer,187,0,12/18/2020
290,New York City,Richmond,668,0,12/18/2020
291,Mid-Hudson,Rockland,426,1,12/18/2020
292,Capital Region,Saratoga,344,0,12/18/2020
293,Capital Region,Schenectady,273,1,12/18/2020
294,Mohawk Valley,Schoharie,12,0,12/18/2020
295,Southern Tier,Schuyler,0,0,12/18/2020
296,Finger Lakes,Seneca,4,0,12/18/2020
297,North Country,St. Lawrence,414,1,12/18/2020
298,Southern Tier,Steuben,6,0,12/18/2020
299,Long Island,Suffolk,1304,5,12/18/2020
300,Mid-Hudson,Sullivan,23,0,12/18/2020
301,Southern Tier,Tioga,3,0,12/18/2020
302,Southern Tier,Tompkins,5,0,12/18/2020
303,Mid-Hudson,Ulster,154,1,12/18/2020
304,Capital Region,Warren,75,0,12/18/2020
305,Capital Region,Washington,28,0,12/18/2020
306,Finger Lakes,Wayne,29,1,12/18/2020
307,Mid-Hudson,Westchester,1423,5,12/18/2020
308,Finger Lakes,Wyoming,14,0,12/18/2020
309,Finger Lakes,Yates,4,0,12/18/2020
310,Capital Region,Albany,779,2,12/19/2020
311,Western New York,Allegany,41,0,12/19/2020
312,New York City,Bronx,667,3,12/19/2020
313,Southern Tier,Broome,10,0,12/19/2020
314,Western New York,Cattaraugus,145,0,12/19/2020
315,Central New York,Cayuga,28,0,12/19/2020
316,Western New York,Chautauqua,133,0,12/19/2020
317,Southern Tier,Chemung,5,0,12/19/2020
318,Southern Tier,Chenango,3,0,12/19/2020
319,North Country,Clinton,39,1,12/19/2020
320,Capital Region,Columbia,82,0,12/19/2020
321,Central New York,Cortland,5,0,12/19/2020
322,Southern Tier,Delaware,4,0,12/19/2020
323,Mid-Hudson,Dutchess,321,0,12/19/2020
324,Western New York,Erie,1863,1,12/19/2020
325,North Country,Essex,24,0,12/19/2020
326,North Country,Franklin,93,0,12/19/2020
327,Mohawk Valley,Fulton,19,0,12/19/2020
328,Finger Lakes,Genesee,19,0,12/19/2020
329,Capital Region,Greene,33,0,12/19/2020
330,North Country,Hamilton,0,0,12/19/2020
331,Mohawk Valley,Herkimer,54,0,12/19/2020
332,North Country,Jefferson,22,0,12/19/2020
333,New York City,Kings,2861,15,12/19/2020
334,North Country,Lewis,4,0,12/19/2020
335,Finger Lakes,Livingston,43,0,12/19/2020
336,Central New York,Madison,63,0,12/19/2020
337,Finger Lakes,Monroe,1405,2,12/19/2020
338,Mohawk Valley,Montgomery,32,0,12/19/2020
339,Long Island,Nassau,2328,3,12/19/2020
340,New York City,New York,3897,9,12/19/2020
341,Western New York,Niagara,206,0,12/19/2020
342,Mohawk Valley,Oneida,320,0,12/19/2020
343,Central New York,Onondaga,827,1,12/19/2020
344,Finger Lakes,Ontario,95,0,12/19/2020
345,Mid-Hudson,Orange,778,4,12/19/2020
346,Finger Lakes,Orleans,13,0,12/19/2020
347,Central New York,Oswego,35,0,12/19/2020
348,Mohawk Valley,Otsego,71,0,12/19/2020
349,Mid-Hudson,Putnam,91,2,12/19/2020
350,New York City,Queens,2054,9,12/19/2020
351,Capital Region,Rensselaer,209,0,12/19/2020
352,New York City,Richmond,900,0,12/19/2020
353,Mid-Hudson,Rockland,584,1,12/19/2020
354,Capital Region,Saratoga,481,1,12/19/2020
355,Capital Region,Schenectady,301,1,12/19/2020
356,Mohawk Valley,Schoharie,13,0,12/19/2020
357,Southern Tier,Schuyler,0,0,12/19/2020
358,Finger Lakes,Seneca,7,0,12/19/2020
359,North Country,St. Lawrence,510,1,12/19/2020
360,Southern Tier,Steuben,6,0,12/19/2020
361,Long Island,Suffolk,1587,7,12/19/2020
362,Mid-Hudson,Sullivan,41,0,12/19/2020
363,Southern Tier,Tioga,3,0,12/19/2020
364,Southern Tier,Tompkins,6,0,12/19/2020
365,Mid-Hudson,Ulster,190,1,12/19/2020
366,Capital Region,Warren,108,0,12/19/2020
367,Capital Region,Washington,39,0,12/19/2020
368,Finger Lakes,Wayne,38,1,12/19/2020
369,Mid-Hudson,Westchester,1603,6,12/19/2020
370,Finger Lakes,Wyoming,15,0,12/19/2020
371,Finger Lakes,Yates,5,0,12/19/2020
372,Capital Region,Albany,804,2,12/20/2020
373,Western New York,Allegany,45,0,12/20/2020
374,New York City,Bronx,698,3,12/20/2020
375,Southern Tier,Broome,15,0,12/20/2020
376,Western New York,Cattaraugus,160,0,12/20/2020
377,Central New York,Cayuga,30,0,12/20/2020
378,Western New York,Chautauqua,139,0,12/20/2020
379,Southern Tier,Chemung,5,0,12/20/2020
380,Southern Tier,Chenango,8,0,12/20/2020
381,North Country,Clinton,40,1,12/20/2020
382,Capital Region,Columbia,84,0,12/20/2020
383,Central New York,Cortland,5,0,12/20/2020
384,Southern Tier,Delaware,6,0,12/20/2020
385,Mid-Hudson,Dutchess,328,0,12/20/2020
386,Western New York,Erie,2125,2,12/20/2020
387,North Country,Essex,26,0,12/20/2020
388,North Country,Franklin,129,0,12/20/2020
389,Mohawk Valley,Fulton,30,0,12/20/2020
390,Finger Lakes,Genesee,22,0,12/20/2020
391,Capital Region,Greene,35,0,12/20/2020
392,North Country,Hamilton,1,0,12/20/2020
393,Mohawk Valley,Herkimer,74,0,12/20/2020
394,North Country,Jefferson,26,0,12/20/2020
395,New York City,Kings,3185,15,12/20/2020
396,North Country,Lewis,4,0,12/20/2020
397,Finger Lakes,Livingston,48,0,12/20/2020
398,Central New York,Madison,72,0,12/20/2020
399,Finger Lakes,Monroe,1576,2,12/20/2020
400,Mohawk Valley,Montgomery,61,0,12/20/2020
401,Long Island,Nassau,2521,3,12/20/2020
402,New York City,New York,4125,10,12/20/2020
403,Western New York,Niagara,224,0,12/20/2020
404,Mohawk Valley,Oneida,354,0,12/20/2020
405,Central New York,Onondaga,901,1,12/20/2020
406,Finger Lakes,Ontario,102,0,12/20/2020
407,Mid-Hudson,Orange,852,5,12/20/2020
408,Finger Lakes,Orleans,17,0,12/20/2020
409,Central New York,Oswego,41,0,12/20/2020
410,Mohawk Valley,Otsego,128,0,12/20/2020
411,Mid-Hudson,Putnam,95,2,12/20/2020
412,New York City,Queens,2193,10,12/20/2020
413,Capital Region,Rensselaer,221,0,12/20/2020
414,New York City,Richmond,1057,0,12/20/2020
415,Mid-Hudson,Rockland,599,1,12/20/2020
416,Capital Region,Saratoga,489,1,12/20/2020
417,Capital Region,Schenectady,318,1,12/20/2020
418,Mohawk Valley,Schoharie,19,0,12/20/2020
419,Southern Tier,Schuyler,0,0,12/20/2020
420,Finger Lakes,Seneca,7,0,12/20/2020
421,North Country,St. Lawrence,595,1,12/20/2020
422,Southern Tier,Steuben,6,0,12/20/2020
423,Long Island,Suffolk,1744,7,12/20/2020
424,Mid-Hudson,Sullivan,54,0,12/20/2020
425,Southern Tier,Tioga,3,0,12/20/2020
426,Southern Tier,Tompkins,7,0,12/20/2020
427,Mid-Hudson,Ulster,219,1,12/20/2020
428,Capital Region,Warren,108,0,12/20/2020
429,Capital Region,Washington,39,0,12/20/2020
430,Finger Lakes,Wayne,46,1,12/20/2020
431,Mid-Hudson,Westchester,1661,7,12/20/2020
432,Finger Lakes,Wyoming,21,0,12/20/2020
433,Finger Lakes,Yates,6,0,12/20/2020
434,Capital Region,Albany,872,2,12/21/2020
435,Western New York,Allegany,50,0,12/21/2020
436,New York City,Bronx,906,3,12/21/2020
437,Southern Tier,Broome,21,0,12/21/2020
438,Western New York,Cattaraugus,177,0,12/21/2020
439,Central New York,Cayuga,63,0,12/21/2020
440,Western New York,Chautauqua,165,0,12/21/2020
441,Southern Tier,Chemung,5,0,12/21/2020
442,Southern Tier,Chenango,19,0,12/21/2020
443,North Country,Clinton,93,1,12/21/2020
444,Capital Region,Columbia,104,0,12/21/2020
445,Central New York,Cortland,17,0,12/21/2020
446,Southern Tier,Delaware,7,0,12/21/2020
447,Mid-Hudson,Dutchess,416,2,12/21/2020
448,Western New York,Erie,2925,2,12/21/2020
449,North Country,Essex,36,0,12/21/2020
450,North Country,Franklin,172,0,12/21/2020
451,Mohawk Valley,Fulton,77,0,12/21/2020
452,Finger Lakes,Genesee,29,0,12/21/2020
453,Capital Region,Greene,46,0,12/21/2020
454,North Country,Hamilton,1,0,12/21/2020
455,Mohawk Valley,Herkimer,86,0,12/21/2020
456,North Country,Jefferson,29,0,12/21/2020
457,New York City,Kings,3928,16,12/21/2020
458,North Country,Lewis,5,0,12/21/2020
459,Finger Lakes,Livingston,56,0,12/21/2020
460,Central New York,Madison,120,0,12/21/2020
461,Finger Lakes,Monroe,2040,2,12/21/2020
462,Mohawk Valley,Montgomery,101,0,12/21/2020
463,Long Island,Nassau,3042,5,12/21/2020
464,New York City,New York,4840,11,12/21/2020
465,Western New York,Niagara,411,0,12/21/2020
466,Mohawk Valley,Oneida,402,0,12/21/2020
467,Central New York,Onondaga,1077,3,12/21/2020
468,Finger Lakes,Ontario,123,0,12/21/2020
469,Mid-Hudson,Orange,943,7,12/21/2020
470,Finger Lakes,Orleans,25,0,12/21/2020
471,Central New York,Oswego,57,0,12/21/2020
472,Mohawk Valley,Otsego,162,0,12/21/2020
473,Mid-Hudson,Putnam,108,3,12/21/2020
474,New York City,Queens,2799,15,12/21/2020
475,Capital Region,Rensselaer,238,1,12/21/2020
476,New York City,Richmond,1269,2,12/21/2020
477,Mid-Hudson,Rockland,665,1,12/21/2020
478,Capital Region,Saratoga,563,2,12/21/2020
479,Capital Region,Schenectady,365,1,12/21/2020
480,Mohawk Valley,Schoharie,21,0,12/21/2020
481,Southern Tier,Schuyler,0,0,12/21/2020
482,Finger Lakes,Seneca,7,0,12/21/2020
483,North Country,St. Lawrence,644,1,12/21/2020
484,Southern Tier,Steuben,10,0,12/21/2020
485,Long Island,Suffolk,2125,8,12/21/2020
486,Mid-Hudson,Sullivan,69,0,12/21/2020
487,Southern Tier,Tioga,3,0,12/21/2020
488,Southern Tier,Tompkins,17,0,12/21/2020
489,Mid-Hudson,Ulster,265,1,12/21/2020
490,Capital Region,Warren,129,0,12/21/2020
491,Capital Region,Washington,55,0,12/21/2020
492,Finger Lakes,Wayne,60,1,12/21/2020
493,Mid-Hudson,Westchester,1988,9,12/21/2020
494,Finger Lakes,Wyoming,29,0,12/21/2020
495,Finger Lakes,Yates,6,0,12/21/2020
496,Capital Region,Albany,1076,2,12/22/2020
497,Western New York,Allegany,69,0,12/22/2020
498,New York City,Bronx,1314,4,12/22/2020
499,Southern Tier,Broome,36,0,12/22/2020
500,Western New York,Cattaraugus,226,0,12/22/2020
501,Central New York,Cayuga,105,0,12/22/2020
502,Western New York,Chautauqua,183,0,12/22/2020
503,Southern Tier,Chemung,5,0,12/22/2020
504,Southern Tier,Chenango,38,0,12/22/2020
505,North Country,Clinton,202,1,12/22/2020
506,Capital Region,Columbia,116,0,12/22/2020
507,Central New York,Cortland,122,1,12/22/2020
508,Southern Tier,Delaware,13,0,12/22/2020
509,Mid-Hudson,Dutchess,554,5,12/22/2020
510,Western New York,Erie,3868,4,12/22/2020
511,North Country,Essex,59,0,12/22/2020
512,North Country,Franklin,204,0,12/22/2020
513,Mohawk Valley,Fulton,86,0,12/22/2020
514,Finger Lakes,Genesee,38,0,12/22/2020
515,Capital Region,Greene,53,0,12/22/2020
516,North Country,Hamilton,1,0,12/22/2020
517,Mohawk Valley,Herkimer,102,0,12/22/2020
518,North Country,Jefferson,40,0,12/22/2020
519,New York City,Kings,5216,23,12/22/2020
520,North Country,Lewis,9,0,12/22/2020
521,Finger Lakes,Livingston,89,0,12/22/2020
522,Central New York,Madison,187,0,12/22/2020
523,Finger Lakes,Monroe,2675,4,12/22/2020
524,Mohawk Valley,Montgomery,106,0,12/22/2020
525,Long Island,Nassau,4188,5,12/22/2020
526,New York City,New York,6578,17,12/22/2020
527,Western New York,Niagara,565,0,12/22/2020
528,Mohawk Valley,Oneida,522,0,12/22/2020
529,Central New York,Onondaga,1431,5,12/22/2020
530,Finger Lakes,Ontario,248,0,12/22/2020
531,Mid-Hudson,Orange,1189,9,12/22/2020
532,Finger Lakes,Orleans,32,0,12/22/2020
533,Central New York,Oswego,93,0,12/22/2020
534,Mohawk Valley,Otsego,188,0,12/22/2020
535,Mid-Hudson,Putnam,137,3,12/22/2020
536,New York City,Queens,3889,17,12/22/2020
537,Capital Region,Rensselaer,291,1,12/22/2020
538,New York City,Richmond,1769,3,12/22/2020
539,Mid-Hudson,Rockland,856,1,12/22/2020
540,Capital Region,Saratoga,692,2,12/22/2020
541,Capital Region,Schenectady,399,1,12/22/2020
542,Mohawk Valley,Schoharie,27,0,12/22/2020
543,Southern Tier,Schuyler,1,0,12/22/2020
544,Finger Lakes,Seneca,35,0,12/22/2020
545,North Country,St. Lawrence,679,2,12/22/2020
546,Southern Tier,Steuben,80,0,12/22/2020
547,Long Island,Suffolk,2946,11,12/22/2020
548,Mid-Hudson,Sullivan,87,1,12/22/2020
549,Southern Tier,Tioga,5,0,12/22/2020
550,Southern Tier,Tompkins,32,0,12/22/2020
551,Mid-Hudson,Ulster,312,1,12/22/2020
552,Capital Region,Warren,153,0,12/22/2020
553,Capital Region,Washington,77,0,12/22/2020
554,Finger Lakes,Wayne,94,1,12/22/2020
555,Mid-Hudson,Westchester,2639,12,12/22/2020
556,Finger Lakes,Wyoming,60,0,12/22/2020
557,Finger Lakes,Yates,19,0,12/22/2020
558,Capital Region,Albany,2017,4,12/23/2020
559,Western New York,Allegany,136,0,12/23/2020
560,New York City,Bronx,2010,7,12/23/2020
561,Southern Tier,Broome,78,0,12/23/2020
562,Western New York,Cattaraugus,277,0,12/23/2020
563,Central New York,Cayuga,133,0,12/23/2020
